660,307,693,304,695,316,662,319,Grand
105,245,142,254,141,272,104,263,###
110,277,154,287,149,321,105,311,ALE
280,314,325,312,322,337,277,339,H2O
321,374,351,372,350,394,320,396,h2o
1053,309,1079,306,1096,418,1070,421,Hollk
1126,270,1152,266,1155,285,1129,289,###
599,310,632,309,632,319,599,320,Grand
93,261,155,275,153,286,91,272,###
589,319,645,316,644,328,588,331,###
649,318,708,313,709,324,650,329,###
586,328,647,324,647,344,586,348,SALE
645,323,708,320,710,344,647,347,SALE
1005,340,1044,338,1047,355,1008,357,###
980,584,1001,598,1001,624,980,610,###
982,610,1006,626,1004,652,980,636,###
