764,144,814,152,814,173,764,164,LEVEL
976,455,1013,461,1013,474,976,468,###
978,488,1008,495,1011,506,981,499,###
973,500,1017,509,1018,526,975,518,###
262,246,301,249,298,298,260,295,###
976,473,1006,478,1010,489,980,484,###
778,95,827,106,827,140,778,129,RINK
733,84,780,96,781,134,735,123,THE
185,196,252,202,255,224,188,219,###
817,155,829,158,828,174,816,170,###
1160,197,1248,200,1250,220,1162,216,###
266,232,303,236,301,249,265,245,###
263,294,296,300,295,331,261,325,###
250,327,299,340,302,354,253,340,###
