1158,230,1240,232,1241,257,1159,255,NEED
1143,251,1188,254,1185,282,1140,280,###
660,105,728,120,727,149,659,133,CHEQUE
657,135,729,150,728,179,655,163,DEPOSIT
1155,40,1250,36,1248,63,1153,68,CASH
879,89,985,84,984,113,879,119,DEPOSIT
1254,32,1279,31,1279,61,1254,62,###
794,95,879,93,876,121,791,123,CHEQUE
1150,68,1277,63,1278,95,1150,99,PASSBO
1072,70,1104,84,1100,123,1069,109,###
1067,108,1120,134,1118,170,1065,144,###
1069,154,1122,177,1120,208,1066,185,###
1068,192,1107,204,1104,239,1065,227,###
1245,235,1279,236,1279,260,1245,260,###
1143,229,1160,229,1158,256,1141,256,###
1190,254,1250,254,1249,283,1189,283,ME,
1254,260,1274,260,1274,287,1254,286,###
776,392,840,408,839,427,774,411,###
844,407,870,411,868,433,841,429,###
870,409,920,420,918,441,868,429,LIFE,
924,419,968,429,964,450,920,441,THE
966,426,1008,434,1008,458,966,449,###
912,440,991,457,990,479,911,462,BEING
772,411,893,436,890,458,769,433,###
893,435,915,440,913,462,891,457,###
992,456,1008,458,1004,481,988,479,###
1255,424,1269,428,1269,438,1255,434,###
851,612,949,650,916,678,813,640,###
1249,411,1278,419,1277,442,1248,434,###
1242,594,1278,605,1277,705,1233,689,###
