474,126,502,126,502,132,474,132,###
754,422,802,476,794,523,746,469,BOS
299,112,316,112,317,135,299,135,###
337,105,415,105,418,125,339,125,182/182
417,108,431,107,430,123,416,123,###
240,110,299,108,301,136,242,138,243
458,101,515,101,517,127,461,127,179
135,114,195,110,196,139,136,142,405
412,86,434,85,433,100,412,101,###
334,86,401,86,400,102,333,102,BERTH
847,421,902,474,907,633,852,580,###
478,133,501,132,501,138,478,139,###
363,127,406,127,406,135,363,135,###
373,134,400,134,400,142,373,142,###
257,136,301,134,303,141,258,141,###
268,140,294,140,294,147,268,147,###
135,141,196,137,197,144,136,148,###
149,146,180,144,181,151,149,153,###
920,486,997,526,1000,716,925,652,###
1000,534,1240,674,1244,715,1005,718,###
822,43,1274,4,1276,575,841,397,###
