298,137,363,125,371,155,306,167,NEW!
288,192,388,163,395,195,295,224,GABU
392,161,500,150,502,183,395,194,GABU!
328,221,450,191,453,215,331,245,Refreshing
298,252,335,243,343,272,307,281,Ice
347,246,418,223,423,244,352,267,Cream
425,221,481,206,488,230,431,244,Soda
310,285,363,263,370,282,317,304,with
366,268,423,245,429,264,371,287,REAL
429,248,490,230,491,250,430,268,MILK!
295,490,343,455,351,470,302,504,GABU
347,454,396,431,400,445,351,468,GABU
401,426,447,403,452,421,407,444,GABU
450,403,495,392,498,408,453,420,GABU
452,521,511,504,512,512,453,528,###
338,595,425,578,426,591,339,608,###
386,598,491,581,491,594,386,610,###
543,178,552,177,551,187,543,189,###
543,251,552,250,552,262,543,262,###
638,328,643,327,643,338,637,339,###
667,325,675,323,675,332,667,334,###
707,317,715,317,714,328,706,328,###
374,657,418,643,419,651,376,665,###
