643,228,660,224,660,238,643,236,###
25,213,70,188,81,225,36,250,OMG
941,168,980,163,981,175,942,180,Easier
978,160,1006,156,1006,171,978,175,Way
930,266,967,260,970,275,932,281,Voted
917,171,941,169,941,184,917,186,The
995,248,1013,245,1018,268,1000,270,###
968,258,996,253,997,269,970,274,###
910,139,1002,124,1005,140,913,156,JobStreet
977,284,1023,278,1023,291,977,298,###
631,215,667,215,667,228,631,228,###
941,283,1033,271,1035,280,942,293,###
286,238,310,241,310,257,286,255,###
285,258,316,260,315,273,284,272,###
1003,124,1014,122,1016,136,1005,138,###
913,102,937,96,941,120,916,125,###
210,236,242,240,245,270,213,266,###
1017,258,1030,255,1031,263,1018,266,###
1008,158,1017,157,1017,166,1008,167,###
1199,147,1214,145,1218,171,1204,173,###
52,246,102,250,102,257,50,254,###
1139,439,1225,429,1226,441,1140,451,###
