1070,303,1157,298,1165,334,1076,332,SHOPPES
1030,307,1065,304,1070,334,1035,329,THE
764,249,819,239,828,267,767,275,###
886,2,1236,5,1260,137,908,215,MORE
818,242,879,229,889,263,825,271,###
975,215,1262,157,1272,211,982,252,###
892,230,974,215,980,249,889,263,###
690,183,880,106,920,217,708,257,DISCOVER
1165,312,1175,309,1182,335,1165,329,###
1062,330,1141,334,1155,364,1065,357,MARINA
1152,333,1195,332,1200,364,1150,362,###
728,257,761,247,768,274,733,278,###
710,259,729,254,733,277,715,280,###
1197,331,1279,334,1278,366,1197,364,San
1197,368,1278,372,1278,393,1194,390,INGAPO
