17,309,190,274,190,291,17,326,###
562,215,603,209,603,221,562,227,###
437,193,504,183,502,230,435,240,###
507,180,612,162,611,208,506,226,Amor
375,253,405,247,407,261,377,266,###
1,283,53,271,53,302,1,314,NOY
61,266,206,235,211,268,65,300,EXPRESS
404,246,444,240,446,253,406,260,###
646,196,685,190,688,208,650,215,02-46
1082,117,1119,103,1120,139,1083,153,S.K
1159,24,1177,10,1186,40,1166,51,EXIT
689,272,706,263,710,275,693,283,$10
580,317,586,317,585,328,580,327,###
578,326,594,327,593,337,578,336,###
0,9,25,1,70,7,2,35,###
10,75,91,49,95,64,14,90,###
38,84,92,65,94,82,40,101,###
17,111,95,85,98,101,20,127,###
113,40,160,26,162,36,115,51,###
18,313,193,272,195,290,19,331,###
1,35,60,19,60,32,2,51,###
75,319,132,302,132,318,71,327,###
83,355,108,350,112,370,88,376,###
111,14,169,0,169,4,111,26,###
164,21,198,15,198,26,168,32,###
